Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
3A0,0200,3A0,0000,000,0000,000,0000,0000,004,0100
3A0,0200,3A1,0200,3A0,0200,000,03A0,0000,004,0100
3A1,EE1A,3A2,EE1A,3BC,0000,000,001A,0000,004,0100,3BC,0000
3A2,AE16,3A3,AE16,3B9,0000,000,0016,0000,004,0100
3A3,0700,3A4,0700,3A3,0700,000,03A3,0001,000,0000
3A4,0C00,3A5,0C00,7FF,0001,7FF,03A4,0001,000,0000,7FF,0001
3A5,D71F,71F,D71F,7FE,03A6,7FE,D71F,0001,000,0000,7FE,03A6
71F,AC01,720,AC01,7FF,0001,7FE,0001,0001,000,0000
720,F001,721,F001,720,F001,7FE,0720,0001,000,0000
721,F308,72A,F308,721,F308,7FE,0008,0001,000,0000
72A,AE02,72B,AE02,72D,F8CA,7FE,0002,F8CA,008,1000
72B,EC01,72C,EC01,7FF,F8CA,7FE,0001,F8CA,008,1000,7FF,F8CA
72C,0A00,3A6,0A00,7FE,03A6,7FF,072C,F8CA,008,1000
3A6,0800,3A7,0800,7FF,F8CA,000,03A6,F8CA,008,1000
3A7,0740,3A8,0740,3A7,0740,000,03A7,F8C9,009,1001
3A8,4E13,3A9,4E13,3BC,0000,000,0013,F8C9,008,1000
3A9,EE12,3AA,EE12,3BC,F8C9,000,0012,F8C9,008,1000,3BC,F8C9
3AA,AE10,3AB,AE10,3BB,03E8,000,0010,03E8,000,0000
3AB,0C00,3AC,0C00,7FF,03E8,7FF,03AB,03E8,000,0000,7FF,03E8
3AC,D71F,71F,D71F,7FE,03AD,7FE,D71F,03E8,000,0000,7FE,03AD
71F,AC01,720,AC01,7FF,03E8,7FE,0001,03E8,000,0000
720,F001,721,F001,720,F001,7FE,0720,03E8,000,0000
721,F308,72A,F308,721,F308,7FE,0008,03E8,000,0000
72A,AE02,72B,AE02,72D,F8CA,7FE,0002,F8CA,008,1000
72B,EC01,72C,EC01,7FF,F8CA,7FE,0001,F8CA,008,1000,7FF,F8CA
72C,0A00,3AD,0A00,7FE,03AD,7FF,072C,F8CA,008,1000
3AD,0800,3AE,0800,7FF,F8CA,000,03AD,F8CA,008,1000
3AE,4E0D,3AF,4E0D,3BC,F8C9,000,000D,F193,009,1001
3AF,EE0C,3B0,EE0C,3BC,F193,000,000C,F193,009,1001,3BC,F193
3B0,AE09,3B1,AE09,3BA,FF9D,000,0009,FF9D,009,1001
3B1,0740,3B2,0740,3B1,0740,000,03B1,FF9C,009,1001
3B2,0C00,3B3,0C00,7FF,FF9C,7FF,03B2,FF9C,009,1001,7FF,FF9C
3B3,D71F,71F,D71F,7FE,03B4,7FE,D71F,FF9C,009,1001,7FE,03B4
71F,AC01,720,AC01,7FF,FF9C,7FE,0001,FF9C,009,1001
720,F001,721,F001,720,F001,7FE,0720,FF9C,009,1001
721,F308,722,F308,721,F308,7FE,0721,FF9C,009,1001
722,7E0A,723,7E0A,72D,F8CA,7FE,000A,FF9C,001,0001
723,F806,724,F806,723,F806,7FE,0723,FF9C,001,0001
724,F005,725,F005,724,F005,7FE,0724,FF9C,001,0001
725,0500,726,0500,725,FF9C,7FE,0725,FF38,009,1001
726,0500,727,0500,726,FF38,7FE,0726,FE70,009,1001
727,4C01,728,4C01,7FF,FF9C,7FE,0001,FE0C,009,1001
728,4E05,729,4E05,72E,00FD,7FE,0005,FF09,008,1000
729,CE01,72B,CE01,729,072B,7FE,0001,FF09,008,1000
72B,EC01,72C,EC01,7FF,FF09,7FE,0001,FF09,008,1000,7FF,FF09
72C,0A00,3B4,0A00,7FE,03B4,7FF,072C,FF09,008,1000
3B4,0800,3B5,0800,7FF,FF09,000,03B4,FF09,008,1000
3B5,0740,3B6,0740,3B5,0740,000,03B5,FF08,009,1001
3B6,6E05,3B7,6E05,3BC,F193,000,0005,0D75,001,0001
3B7,EE04,3B8,EE04,3BC,0D75,000,0004,0D75,001,0001,3BC,0D75
3B8,0100,3B9,0100,3B8,0100,000,03B8,0D75,001,0001
