Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
5B3,D2F0,5B3,0100,5B2,0100,7FF,05B2,0000,084,0100,7FF,05B4
5B3,D2F0,0A2,0100,5B2,0100,7FF,05B2,0000,084,0100
0A2,000A,0A3,0100,0A2,000A,7FF,05B2,0000,084,0100,0A2,000A
0A3,0000,0A4,0100,0A3,0000,7FF,05B2,0000,084,0100,0A3,0000
0A4,05B3,0A5,0100,0A4,05B3,7FF,05B2,0000,084,0100,0A4,05B3
0A5,0200,0A6,0100,0A5,0200,7FF,05B2,0000,084,0100,0A5,0200
0A6,1205,0A7,0100,0A6,1205,7FF,05B2,0000,084,0100,0A6,1205
0A7,2F40,0A8,0100,0A7,2F40,7FF,05B2,0000,084,0100,0A7,2F40
0A8,F0FD,0A9,0100,0A8,F0FD,7FF,05B2,0000,084,0100,0A8,F0FD
0A9,1204,0AA,0100,0A9,1204,7FF,05B2,0000,084,0100,0A9,1204
0AA,E8F9,0AB,0100,0AA,E8F9,7FF,05B2,0000,084,0100,0AA,E8F9
0AB,7EF6,0AC,0100,0AB,7EF6,7FF,05B2,0000,084,0100,0AB,7EF6
0AC,F00C,0AD,0100,0AC,F00C,7FF,05B2,0000,084,0100,0AC,F00C
0AD,1205,0AE,0100,0AD,1205,7FF,05B2,0000,084,0100,0AD,1205
0AE,2F40,0AF,0100,0AE,2F40,7FF,05B2,0000,084,0100,0AE,2F40
0AF,F0FD,0B0,0100,0AF,F0FD,7FF,05B2,0000,084,0100,0AF,F0FD
0B0,1204,0B1,0100,0B0,1204,7FF,05B2,0000,084,0100,0B0,1204
0B1,EEF1,0B2,0100,0B1,EEF1,7FF,05B2,0000,084,0100,0B1,EEF1
0B2,0680,0B3,0100,0B2,0680,7FF,05B2,0000,084,0100,0B2,0680
0B3,48F0,0B4,0100,0B3,48F0,7FF,05B2,0000,084,0100,0B3,48F0
0B4,EAEF,0B5,0100,0B4,EAEF,7FF,05B2,0000,084,0100,0B4,EAEF
0B5,AEED,0B6,0100,0B5,AEED,7FF,05B2,0000,084,0100,0B5,AEED
0B6,7EEB,0B7,0100,0B6,7EEB,7FF,05B2,0000,084,0100,0B6,7EEB
0B7,F001,0B8,0100,0B7,F001,7FF,05B2,0000,084,0100,0B7,F001
0B8,CEEC,0B9,0100,0B8,CEEC,7FF,05B2,0000,084,0100,0B8,CEEC
0B9,C5B2,0BA,0100,0B9,C5B2,7FF,05B2,0000,084,0100,0B9,C5B2
0BA,0000,0BB,0100,0BA,0000,7FF,05B2,0000,084,0100,0BA,0000
0BB,0000,0BC,0100,0BB,0000,7FF,05B2,0000,084,0100,0BB,0000
0BC,0000,0BD,0100,0BC,0000,7FF,05B2,0000,084,0100,0BC,0000
0BD,0000,0BE,0100,0BD,0000,7FF,05B2,0000,084,0100,0BD,0000
0BE,0000,0BF,0100,0BE,0000,7FF,05B2,0000,084,0100,0BE,0000
0BF,0000,0C0,0100,0BF,0000,7FF,05B2,0000,084,0100,0BF,0000
0C0,0000,0C1,0100,0C0,0000,7FF,05B2,0000,084,0100,0C0,0000
0C1,0000,0C2,0100,0C1,0000,7FF,05B2,0000,084,0100,0C1,0000
0C2,0000,0C3,0100,0C2,0000,7FF,05B2,0000,084,0100,0C2,0000
0C3,0000,0C4,0100,0C3,0000,7FF,05B2,0000,084,0100,0C3,0000
0C4,0000,0C5,0100,0C4,0000,7FF,05B2,0000,084,0100,0C4,0000
0C5,0000,0C6,0100,0C5,0000,7FF,05B2,0000,084,0100,0C5,0000
0C6,0000,0C7,0100,0C6,0000,7FF,05B2,0000,084,0100,0C6,0000
0C7,0000,0C8,0100,0C7,0000,7FF,05B2,0000,084,0100,0C7,0000
0C8,0000,0C9,0100,0C8,0000,7FF,05B2,0000,084,0100,0C8,0000
0C9,0000,0CA,0100,0C9,0000,7FF,05B2,0000,084,0100,0C9,0000
0CA,0000,0CB,0100,0CA,0000,7FF,05B2,0000,084,0100,0CA,0000
0CB,0000,0CC,0100,0CB,0000,7FF,05B2,0000,084,0100,0CB,0000
0CC,0000,0CD,0100,0CC,0000,7FF,05B2,0000,084,0100,0CC,0000
0CD,0000,0CE,0100,0CD,0000,7FF,05B2,0000,084,0100,0CD,0000
0CE,0000,0CF,0100,0CE,0000,7FF,05B2,0000,084,0100,0CE,0000
0CF,0000,0D0,0100,0CF,0000,7FF,05B2,0000,084,0100,0CF,0000
0D0,0000,0D1,0100,0D0,0000,7FF,05B2,0000,084,0100,0D0,0000
0D1,0000,0D2,0100,0D1,0000,7FF,05B2,0000,084,0100,0D1,0000
0D2,0000,0D3,0100,0D2,0000,7FF,05B2,0000,084,0100,0D2,0000
0D3,0000,0D4,0100,0D3,0000,7FF,05B2,0000,084,0100,0D3,0000
0D4,0000,0D5,0100,0D4,0000,7FF,05B2,0000,084,0100,0D4,0000
0D5,0000,0D6,0100,0D5,0000,7FF,05B2,0000,084,0100,0D5,0000
0D6,0000,0D7,0100,0D6,0000,7FF,05B2,0000,084,0100,0D6,0000
0D7,0000,0D8,0100,0D7,0000,7FF,05B2,0000,084,0100,0D7,0000
0D8,0000,0D9,0100,0D8,0000,7FF,05B2,0000,084,0100,0D8,0000
0D9,0000,0DA,0100,0D9,0000,7FF,05B2,0000,084,0100,0D9,0000
0DA,0000,0DB,0100,0DA,0000,7FF,05B2,0000,084,0100,0DA,0000
0DB,0000,0DC,0100,0DB,0000,7FF,05B2,0000,084,0100,0DB,0000
0DC,0000,0DD,0100,0DC,0000,7FF,05B2,0000,084,0100,0DC,0000
0DD,0000,0DE,0100,0DD,0000,7FF,05B2,0000,084,0100,0DD,0000
0DE,0000,0DF,0100,0DE,0000,7FF,05B2,0000,084,0100,0DE,0000
0DF,0000,0E0,0100,0DF,0000,7FF,05B2,0000,084,0100,0DF,0000
0E0,0000,0E1,0100,0E0,0000,7FF,05B2,0000,084,0100,0E0,0000
0E1,0000,0E2,0100,0E1,0000,7FF,05B2,0000,084,0100,0E1,0000
0E2,0000,0E3,0100,0E2,0000,7FF,05B2,0000,084,0100,0E2,0000
0E3,0000,0E4,0100,0E3,0000,7FF,05B2,0000,084,0100,0E3,0000
0E4,0000,0E5,0100,0E4,0000,7FF,05B2,0000,084,0100,0E4,0000
0E5,0000,0E6,0100,0E5,0000,7FF,05B2,0000,084,0100,0E5,0000
0E6,0000,0E7,0100,0E6,0000,7FF,05B2,0000,084,0100,0E6,0000
0E7,0000,0E8,0100,0E7,0000,7FF,05B2,0000,084,0100,0E7,0000
0E8,0000,0E9,0100,0E8,0000,7FF,05B2,0000,084,0100,0E8,0000
0E9,0000,0EA,0100,0E9,0000,7FF,05B2,0000,084,0100,0E9,0000
0EA,0000,0EB,0100,0EA,0000,7FF,05B2,0000,084,0100,0EA,0000
